text,soft_skills
 Performing other responsibilities by the request of the Directorand/or Program Coordinator.,"['mediation', 'coordination', 'communication']"
 Manage the company according to the statutes and agreed strategy;,"['mediation', 'coordination', 'organization']"
 Actively market the company and its products and services;,"['service orientation', 'mediation', 'communication']"
 Perform other tasks necessary for successful operation of the company.,"['instructing', 'coordination', 'mediation']"
 Provide daily administrative and technical support to the MMT Programcoordinator and Health Program Manager in implementation of the MMTProgram Activities in the sites;,"['mediation', 'coordination', 'organization']"
" Provide minor procurement, registration of drugs and other medicalsupplies, customs clearance and additional support to field staff asrequired;","['instructing', 'mediation', 'communication']"
 Assist in the development and implementation of the MMT program;,"['mediation', 'coordination', 'organization']"
" Assist in the MMT program monitoring through regular contacts withstaff through telephone, correspondence, etc.;","['instructing', 'communication', 'mediation']"
" Assist as required with the preparation of MMT program documents,reports, project updates, and oral/ written briefings, projectproposals, concept paper development;","['mediation', 'instructing', 'communication']"
" Provide written and oral translations in Armenian, English andRussian, as required;",['mediation']
" Undertake other duties related to Project as assigned by MMT Manager.As a senior member of the MMT and reporting tothe Health Program Manager, the MMT Project Manager will manage a teamof three people (two health coordinators and an assistant) for the firstyear of program implementation that will gradually expand to five (fourhealth coordinators and an assistant). The specific technical leadershipduties and responsibilities include: ","['coordination', 'mediation', 'organization']"
 Ensure the development/ adaptation of MMT related guides and protocolsduring the start,"['mediation', 'coordination', 'instructing']"
" Be responsible for the development, adaptation and modification of thestrategies, tools and instruments that would be used during MMToperations;","['mediation', 'communication', 'instructing']"
" Support the establishment of two site offices in Gegharkunik and Lorimarzes, including operations and management support as required;","['mediation', 'coordination', 'service orientation']"
